,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
831,Cethan Carter,2020,23.4375,0.0,37.857142857142854,0,10.3,3.6
832,Cethan Carter,2021,24.470588235294116,0.0,16.0,0,3.6,0.0
850,Charles Clay,2013,24.0,2.142857142857143,513.4411764705883,7,188.4,136.5
851,Charles Clay,2014,21.875,0.0,417.73809523809524,3,136.5,121.8
852,Charles Clay,2015,21.125,0.0,349.7142857142857,3,121.8,136.2
853,Charles Clay,2016,25.3125,0.0,361.6551724137931,4,136.2,116.8
854,Charles Clay,2017,22.75,0.0,369.4864864864865,2,116.8,37.4
855,Charles Clay,2018,23.5625,0.0,107.33333333333333,0,37.4,47.7
862,Charlie Kolar,2022,2.7058823529411766,0.0,32.666666666666664,0,8.9,21.7
863,Charlie Kolar,2023,21.176470588235293,0.0,67.66666666666667,1,21.7,
867,Charlie Woerner,2020,20.125,0.0,27.0,0,6.6,10.2
868,Charlie Woerner,2021,24.0,0.0,43.333333333333336,0,10.2,0.0
869,Charlie Woerner,2022,25.0,0.0,0.0,0,0.0,6.2
870,Charlie Woerner,2023,26.0,0.0,32.0,0,6.2,
878,Chase Coffman,2013,18.5625,0.0,0.0,0,0.0,18.4
879,Chase Coffman,2014,22.75,0.0,27.428571428571427,1,18.4,21.1
880,Chase Coffman,2015,3.625,0.0,51.63636363636363,1,21.1,0.0
896,Chase Ford,2013,12.9375,0.0,91.4375,0,24.3,54.8
905,Chigoziem Okonkwo,2022,23.0,0.6666666666666666,313.04347826086956,3,97.2,113.4
906,Chigoziem Okonkwo,2023,24.0,3.0,370.2857142857143,1,113.4,
913,Chris Clark,2013,28.0,0.0,0.0,0,0.0,0.0
935,Chris Gragg,2013,12.9375,0.0,37.857142857142854,1,16.3,17.8
936,Chris Gragg,2014,15.0,0.0,33.6,1,17.8,27.0
939,Chris Herndon,2018,22.0,0.0,349.60714285714283,4,113.2,1.7
940,Chris Herndon,2019,1.4375,0.0,3.5,0,1.7,73.7
941,Chris Herndon,2020,24.0,0.0,197.7111111111111,3,73.7,14.0
960,Chris Manhertz,2016,10.5,0.0,10.0,0,2.0,3.7
961,Chris Manhertz,2017,25.0,0.0,8.5,0,3.7,13.2
962,Chris Manhertz,2018,26.0,0.0,20.8,1,13.2,2.1
963,Chris Manhertz,2019,25.3125,0.0,11.0,0,2.1,11.2
964,Chris Manhertz,2020,28.0,0.0,39.0,0,11.2,19.1
965,Chris Manhertz,2021,29.0,0.0,47.333333333333336,1,19.1,10.2
966,Chris Manhertz,2022,30.0,0.0,31.5,0,10.2,3.6
967,Chris Manhertz,2023,29.176470588235293,0.0,8.0,0,3.6,
978,Chris Myarick,2020,4.6875,0.0,0.0,0,0.0,10.7
1025,Clay Harbor,2013,26.0,0.0,200.22857142857143,2,63.2,60.9
1026,Clay Harbor,2014,21.9375,0.0,214.68571428571428,1,60.9,36.9
1027,Clay Harbor,2015,26.25,0.0,104.3,1,36.9,4.9
1029,Clive Walford,2015,24.0,0.0,184.24,3,78.9,86.9
1030,Clive Walford,2016,23.4375,0.0,227.82692307692307,3,86.9,17.0
1031,Clive Walford,2017,21.125,0.0,55.38461538461539,0,17.0,0.0
1032,Clive Walford,2018,1.6875,0.0,0.0,0,0.0,10.1
1038,Coby Fleener,2013,25.0,0.0,363.4022988505747,4,140.8,176.4
1039,Coby Fleener,2014,26.0,0.0,429.0652173913044,8,176.4,123.1
1040,Coby Fleener,2015,27.0,0.0,315.64285714285717,3,123.1,137.3
1041,Coby Fleener,2016,28.0,2.0,389.5061728395062,4,137.3,63.5
1042,Codey McElroy,2019,1.6875,0.0,30.0,0,4.0,0.0
1059,Colby Parkinson,2020,7.875,0.0,16.0,0,3.6,8.3
1060,Colby Parkinson,2021,18.11764705882353,0.0,20.625,0,8.3,69.2
1061,Colby Parkinson,2022,23.0,0.0,236.76470588235293,2,69.2,61.7
1062,Colby Parkinson,2023,24.0,0.0,181.61764705882354,2,61.7,
1072,Cole Fotheringham,2023,3.0588235294117645,0.0,6.0,0,1.6,
1073,Cole Kmet,2020,21.0,-3.0,154.63636363636363,2,62.0,121.2
1074,Cole Kmet,2021,22.0,0.0,394.83870967741933,0,121.2,147.3
1075,Cole Kmet,2022,23.0,4.5,394.2028985507246,7,147.3,181.1
1076,Cole Kmet,2023,24.0,0.6666666666666666,583.1888888888889,6,181.1,
1077,Cole Turner,2022,12.941176470588236,0.0,5.111111111111111,0,4.3,23.0
1078,Cole Turner,2023,16.235294117647058,0.0,88.0,0,23.0,
1079,Cole Wick,2016,8.625,0.0,12.0,0,3.8,0.0
1083,Colin Thompson,2020,25.3125,0.0,3.5,1,7.7,0.0
1096,Connor Heyward,2022,23.0,13.5,106.58823529411765,1,35.8,39.7
1097,Connor Heyward,2023,24.0,0.0,112.97058823529412,0,39.7,
1098,Cooper Helfet,2014,15.625,0.0,92.5,2,42.5,26.0
1157,Craig Stevens,2013,27.1875,0.0,1.6666666666666667,0,2.5,4.6
1158,Craig Stevens,2014,9.375,0.0,26.0,0,4.6,36.1
1159,Crockett Gillmore,2014,21.5625,0.0,80.66666666666667,1,28.1,98.2
1160,Crockett Gillmore,2015,15.0,0.0,289.27659574468083,4,98.2,21.1
1226,Dallas Goedert,2018,23.0,0.0,250.5,4,90.4,144.7
1227,Dallas Goedert,2019,22.5,0.0,404.6666666666667,5,144.7,116.4
